timestamp,model_name,epoch,split,loss,iou,precision,recall,f1,accuracy
2026-05-17T07:48:54.982177,unetr_fs16_h384_heads6,1,train,1.3457991538445155,0.20603170621195507,0.2622657250378688,0.5181520143950669,0.2957654138481297,0.9211548805236817
2026-05-17T07:48:54.982177,unetr_fs16_h384_heads6,1,val,1.214436151186625,0.32665508771936097,0.3670970999822021,0.6624933217962583,0.4349444128301115,0.9721454111735026
2026-05-17T07:50:08.754145,unetr_fs16_h384_heads6,2,train,1.1512891397873561,0.3610837116357531,0.4787821226277932,0.516161720750509,0.466677276930515,0.9862006378173828
2026-05-17T07:50:08.754145,unetr_fs16_h384_heads6,2,val,1.051060398419698,0.43180627416819334,0.5476758940021197,0.5948666515573859,0.5396036115125757,0.9891857401529948
2026-05-17T07:52:18.649137,unetr_fs16_h384_heads6,3,train,1.0442623587449391,0.39909601645563575,0.5503328593897944,0.5325043552463952,0.5062945944624485,0.9889967727661133
2026-05-17T07:52:18.649137,unetr_fs16_h384_heads6,3,val,0.975684510866801,0.473508214543884,0.6341626542806625,0.5828385062050074,0.5755997529433122,0.9921386464436849
2026-05-17T07:55:48.762595,unetr_fs16_h384_heads6,4,train,0.9548010975122452,0.42424534384457124,0.5559938465136414,0.5554860932638015,0.5269098095172104,0.990583864847819
2026-05-17T07:55:48.762595,unetr_fs16_h384_heads6,4,val,0.8076521992683411,0.5006378173098589,0.6738366364439329,0.5874068181232239,0.597429622647899,0.993307367960612
2026-05-17T07:59:47.220184,unetr_fs16_h384_heads6,5,train,0.8747541643182437,0.4505082766682608,0.5722116859769448,0.5810153830714989,0.5524259873867097,0.9916514714558919
2026-05-17T07:59:47.220184,unetr_fs16_h384_heads6,5,val,0.739312368631363,0.4813458351790905,0.6384279913455247,0.5962422189054389,0.583406671485209,0.9925852203369141
2026-05-17T08:04:25.031515,unetr_fs16_h384_heads6,6,train,0.7964162843426069,0.4627515422197757,0.5888408210324512,0.596881727608852,0.5726157671543769,0.9918076324462891
2026-05-17T08:04:25.031515,unetr_fs16_h384_heads6,6,val,0.7129233781496683,0.5201496840516726,0.6978380305568377,0.6014649553100267,0.622091443324055,0.9934778340657552
2026-05-17T08:09:55.888358,unetr_fs16_h384_heads6,7,train,0.7391980828344822,0.47805016991992794,0.6080679271308085,0.606053266103069,0.5852422662393157,0.9921397018432617
2026-05-17T08:09:55.888358,unetr_fs16_h384_heads6,7,val,0.6367823517322541,0.531100270052751,0.6828664489587148,0.6342341966927052,0.6318031957091893,0.9936072794596355
2026-05-17T08:15:44.918209,unetr_fs16_h384_heads6,8,train,0.6809828748305639,0.4870650517647543,0.6066432834486477,0.6188005093395865,0.5911416919158592,0.991651070912679
2026-05-17T08:15:44.918209,unetr_fs16_h384_heads6,8,val,0.6011959737539292,0.545062739054362,0.6972740291059017,0.6359043328960736,0.6466411604535761,0.993415781656901
2026-05-17T08:22:26.666213,unetr_fs16_h384_heads6,9,train,0.627666697104772,0.5030284931852171,0.6279864032613114,0.6284321462611357,0.6074271910127338,0.9923580614725749
2026-05-17T08:22:26.666213,unetr_fs16_h384_heads6,9,val,0.5536410208543142,0.5624222367008527,0.7110020595788956,0.6506100388367971,0.659633374400911,0.9942846171061198
2026-05-17T08:27:30.649288,unetr_fs16_h384_heads6,10,train,0.5773919182022412,0.5176817785091892,0.6360655215557199,0.6438002566011467,0.6205746920841099,0.9930666097005209
2026-05-17T08:27:30.649288,unetr_fs16_h384_heads6,10,val,0.5191858208179474,0.5616390710075696,0.7505733394622802,0.6282272210717201,0.662464940145074,0.9945250956217447
