timestamp,model,epoch,split,loss,iou,precision,recall,f1,accuracy
2026-05-28T08:24:52.496702,SwinUNETR_feature24_tile512,1,train,1.2396543399492899,0.30687140793059975,0.3871396433530511,0.520613005119958,0.4070551470169573,0.9627630996704102
2026-05-28T08:24:52.496702,SwinUNETR_feature24_tile512,1,val,1.08723752339681,0.39131246385475,0.43674967645357055,0.7276175149281819,0.5119407846697634,0.9791648610432943
2026-05-28T08:26:05.087704,SwinUNETR_feature24_tile512,2,train,1.0369723747173945,0.42614662017207594,0.515096888265883,0.6411966100521386,0.5438384650429754,0.9878816223144531
2026-05-28T08:26:05.087704,SwinUNETR_feature24_tile512,2,val,0.9540609645843506,0.5320585785309474,0.648277104596297,0.7172320691744486,0.6564601414098905,0.9920145670572916
2026-05-28T08:27:29.718499,SwinUNETR_feature24_tile512,3,train,0.940744068423907,0.4498882570878292,0.5416714418213815,0.663493856502076,0.5687704974293927,0.9889428774515788
2026-05-28T08:27:29.718499,SwinUNETR_feature24_tile512,3,val,0.8687086534500122,0.5223928808172544,0.5940433233976364,0.7507864971955617,0.638867961467385,0.9910685729980468
2026-05-28T08:29:00.649155,SwinUNETR_feature24_tile512,4,train,0.8677809505661329,0.4818575846403837,0.5742227284718926,0.6738014128431677,0.5974835633090445,0.9898904228210449
2026-05-28T08:29:00.649155,SwinUNETR_feature24_tile512,4,val,0.7987007137139638,0.5612877817451953,0.6567514649033547,0.7301711493730545,0.669480033883549,0.9929774729410807
2026-05-28T08:30:32.506412,SwinUNETR_feature24_tile512,5,train,0.8000630260507265,0.4989101413202782,0.5820442378458878,0.6954595862825712,0.6157807588555393,0.9914344151814779
2026-05-28T08:30:32.506412,SwinUNETR_feature24_tile512,5,val,0.7428231179714203,0.4992219255367915,0.5450033278266588,0.7957149652640024,0.6190870308568416,0.9885017649332682
2026-05-28T08:32:05.409197,SwinUNETR_feature24_tile512,6,train,0.7365643186867237,0.5221620057825931,0.604096311784427,0.7078277569982068,0.6335932504964895,0.9916172281901041
2026-05-28T08:32:05.409197,SwinUNETR_feature24_tile512,6,val,0.6684455571571986,0.5871953715880712,0.6706867398818334,0.7701876191298167,0.6977010815207351,0.9936760965983072
2026-05-28T08:33:38.106164,SwinUNETR_feature24_tile512,7,train,0.6707126175860564,0.5432684330518047,0.6231362835255762,0.7229538120081027,0.6530588043614549,0.9927021344502767
2026-05-28T08:33:38.106164,SwinUNETR_feature24_tile512,7,val,0.6171697705984116,0.5443367017308871,0.5964599961042404,0.7998915739854177,0.6564284957427741,0.991840591430664
2026-05-28T08:35:10.106606,SwinUNETR_feature24_tile512,8,train,0.6123043563961983,0.5567283278455337,0.6423173699729765,0.72669940351819,0.6691824412963384,0.9930922762552897
2026-05-28T08:35:10.106606,SwinUNETR_feature24_tile512,8,val,0.5551173583666483,0.5854502176245053,0.6493655475974083,0.8025762561957042,0.6969757551807619,0.993469950358073
2026-05-28T08:36:44.086986,SwinUNETR_feature24_tile512,9,train,0.5892561230063439,0.5350918554964785,0.6303423207299784,0.7072295986178021,0.646174713999105,0.9913396898905437
2026-05-28T08:36:44.086986,SwinUNETR_feature24_tile512,9,val,0.5324755738178889,0.5821346347530683,0.6780388433734575,0.7601920163631439,0.6943522003099714,0.9926214090983073
2026-05-28T08:38:19.612174,SwinUNETR_feature24_tile512,10,train,0.5365193205575148,0.5629263940430246,0.6630135602705801,0.7202442181110382,0.6740181710080015,0.9931186803181966
2026-05-28T08:38:19.612174,SwinUNETR_feature24_tile512,10,val,0.4882754981517792,0.5857781505584717,0.6592803209026654,0.7979745256900788,0.7012763871763642,0.992604497273763
